"Enrollment No","Name","Email","Department","Batch","Semester","Status","Admission Date"
"","Jane Smith","jane.smith@gppalanpur.in","Electrical","",1,"active","2025-04-06"
"42342342","","","ICT","2021-2024",2,"active","2025-04-02"
"20250001","Milav Dabga","nj3c@gppalanpur.in","Ec","2025-2029",1,"active","2025-04-06"
"20250002","Jayesh Dabgarr","njc324@gppalanpur.in","ICT","2025-2029",1,"active","2025-04-06"
"20250003","Vikram Singh","vikram.singh@gppalanpur.in","Civil","2025-2029",1,"active","2025-04-06"
"20250004","Nisha Patel","nisha.patel@gppalanpur.in","IT","2025-2029",1,"active","2025-04-06"
"20250005","Rohan Shah","rohan.shah@gppalanpur.in","Electrical","2025-2029",1,"active","2025-04-06"
"20250006","Anjali Kumar","anjali.kumar@gppalanpur.in","Ec","2025-2029",1,"active","2025-04-06"
"20250007","Dhruv Mehta","dhruv.mehta@gppalanpur.in","ICT","2025-2029",1,"active","2025-04-06"
"321341","Prathana Shahh","njc3234@gppalanpur.in","Electrical","2021-2024",4,"active","2025-04-22"
