"Name","Email","Department","Roles","Selected Role","Created At"
"Test User","test@example.com","Civil","faculty","student","2025-04-06"
"John Doe","john.doe@gppalanpur.in","IT","faculty, hod","student","2025-04-06"
"Admin","admin@gppalanpur.in","","admin","admin","2025-04-06"
"Jane Smith","jane.smith@gppalanpur.in","Electrical","student","student","2025-04-06"
"Amit Desai","amit.desai@gppalanpur.in","ICT","jury, faculty","jury","2025-04-06"
"Dr. Patel","patel@gppalanpur.in","Ec","faculty","faculty","2025-04-06"
"Jayesh","jayesh.dabgar313@gmail.com","ICT","faculty","admin","2025-04-06"
"Nirav Chauhann","njc@gppalanpur.in","Ec","faculty","faculty","2025-04-06"
"Milav Dabga","nj3c@gppalanpur.in","Ec","student","student","2025-04-06"
"Raj Kumar","raj.kumar@gppalanpur.in","Ec","hod, faculty","student","2025-04-06"
"Nirav Chauhan","njc@gpp.in","Ec","faculty","faculty","2025-04-06"
"sdfsafdqweq","njc@gppralanpur.in","Civil","faculty","faculty","2025-04-06"
"Jayesh Dabgarr","njc324@gppalanpur.in","ICT","student","student","2025-04-06"
"Ankit Patel","ankit.patel@gppalanpur.in","IT","faculty, hod","faculty","2025-04-06"
"Deepa Shah","deepa.shah@gppalanpur.in","Civil","faculty","faculty","2025-04-06"
"Kiran Mehta","kiran.mehta@gppalanpur.in","Electrical","faculty, jury","faculty","2025-04-06"
"Sanjay Verma","sanjay.verma@gppalanpur.in","Ec","faculty","faculty","2025-04-06"
"Pooja Gupta","pooja.gupta@gppalanpur.in","ICT","faculty","faculty","2025-04-06"
"Vikram Singh","vikram.singh@gppalanpur.in","Civil","student","student","2025-04-06"
"Nisha Patel","nisha.patel@gppalanpur.in","IT","student","student","2025-04-06"
"Rohan Shah","rohan.shah@gppalanpur.in","Electrical","student","student","2025-04-06"
"Anjali Kumar","anjali.kumar@gppalanpur.in","Ec","student","student","2025-04-06"
"Dhruv Mehta","dhruv.mehta@gppalanpur.in","ICT","student","student","2025-04-06"
